model,batch size,test_f1
BERT-base-uncased,2,0.897
BERT-base-uncased,4,0.908
BERT-base-uncased,8,0.918
BERT-base-uncased,16,0.927
BERT-base-uncased,32,0
BERT-base-cased,2,0.902
BERT-base-cased,4,0.918
BERT-base-cased,8,0.927
BERT-base-cased,16,0.929
BERT-base-cased,32,0
XLM-R-base,2,0.917
XLM-R-base,4,0.935
XLM-R-base,8,0.935
XLM-R-base,16,0.938
XLM-R-base,32,0.92501
XLM-R-large,2,0.89
XLM-R-large,4,0.916
XLM-R-large,8,0.93
XLM-R-large,16,0.942
XLM-R-large,32,0.93801
PhoBERT-base,2,0.94
PhoBERT-base,4,0.944
PhoBERT-base,8,0.946
PhoBERT-base,16,0.95
PhoBERT-base,32,0.94201
PhoBERT-large,2,0.895
PhoBERT-large,4,0.927
PhoBERT-large,8,0.929
PhoBERT-large,16,0.943
PhoBERT-large,32,0.94501
